Punto,Lat,Long
"0",6.549855,-73.9449275
"1",6.54912976,-73.9449275
"2",6.54840452,-73.9449275
"3",6.54767928,-73.9449275
"4",6.54695404,-73.9449275
"5",6.5462288,-73.9449275
"6",6.54550356,-73.9449275
"7",6.54477832,-73.9449275
"8",6.54405308,-73.9449275
"9",6.54332784,-73.9449275
"10",6.5426026,-73.9449275
"11",6.54187736,-73.9449275
"12",6.54115212,-73.9449275
"13",6.54042687999999,-73.9449275
"14",6.53970163999999,-73.9449275
"15",6.53897639999999,-73.9449275
"16",6.53825115999999,-73.9449275
"17",6.53752591999999,-73.9449275
"18",6.53680067999999,-73.9449275
"19",6.53607543999999,-73.9449275
"20",6.53535019999999,-73.9449275
"21",6.53462495999999,-73.9449275
"22",6.53389971999999,-73.9449275
"23",6.53317447999999,-73.9449275
"24",6.53244923999999,-73.9449275
"25",6.53172399999999,-73.9449275
"26",6.53099875999999,-73.9449275
"27",6.53027351999999,-73.9449275
"28",6.52954827999999,-73.9449275
"29",6.52882303999999,-73.9449275
"30",6.52809779999999,-73.9449275
"31",6.52737255999999,-73.9449275
"32",6.52664731999999,-73.9449275
"33",6.52592207999999,-73.9449275
"34",6.52519683999999,-73.9449275
"35",6.52447159999999,-73.9449275
"36",6.52374635999999,-73.9449275
"37",6.52302111999999,-73.9449275
"38",6.52229587999998,-73.9449275
"39",6.52157063999998,-73.9449275
"40",6.52084539999998,-73.9449275
"41",6.52012015999998,-73.9449275
"42",6.51939491999998,-73.9449275
"43",6.51866967999998,-73.9449275
"44",6.51794443999998,-73.9449275
"45",6.51721919999998,-73.9449275
"46",6.51649395999998,-73.9449275
"47",6.51576871999998,-73.9449275
"48",6.51504347999998,-73.9449275
"49",6.51431823999998,-73.9449275
"50",6.51359299999998,-73.9449275
"51",6.51286775999998,-73.9449275
"52",6.51214251999998,-73.9449275
"53",6.51141727999998,-73.9449275
"54",6.51069203999998,-73.9449275
"55",6.50996679999998,-73.9449275
"56",6.50924155999998,-73.9449275
"57",6.50851631999998,-73.9449275
"58",6.50779107999998,-73.9449275
"59",6.50706583999998,-73.9449275
"60",6.50634059999998,-73.9449275
"61",6.50561535999998,-73.9449275
"62",6.50489011999997,-73.9449275
"63",6.50416487999997,-73.9449275
"64",6.50343963999997,-73.9449275
"65",6.50271439999997,-73.9449275
"66",6.50198915999997,-73.9449275
"67",6.50126391999997,-73.9449275
"68",6.50053867999997,-73.9449275
"69",6.49981343999997,-73.9449275
"70",6.49908819999997,-73.9449275
"71",6.49836295999997,-73.9449275
"72",6.49763771999997,-73.9449275
"73",6.49691247999997,-73.9449275
"74",6.49618723999997,-73.9449275
"75",6.49546199999997,-73.9449275
"76",6.49473675999997,-73.9449275
"77",6.49401151999997,-73.9449275
"78",6.49328627999997,-73.9449275
"79",6.49256103999997,-73.9449275
"80",6.49183579999997,-73.9449275
"81",6.49111055999997,-73.9449275
"82",6.49038531999997,-73.9449275
"83",6.48966007999997,-73.9449275
"84",6.48893483999997,-73.9449275
"85",6.48820959999997,-73.9449275
"86",6.48748435999997,-73.9449275
"87",6.48675911999996,-73.9449275
"88",6.48603387999996,-73.9449275
"89",6.48530863999996,-73.9449275
"90",6.48458339999996,-73.9449275
"91",6.48385815999996,-73.9449275
"92",6.48313291999996,-73.9449275
"93",6.48240767999996,-73.9449275
"94",6.48168243999996,-73.9449275
"95",6.48095719999996,-73.9449275
"96",6.48023195999996,-73.9449275
"97",6.47950671999996,-73.9449275
"98",6.47878147999996,-73.9449275
"99",6.47805623999996,-73.9449275
"100",6.47733099999996,-73.9449275
"101",6.47660575999996,-73.9449275
"102",6.47588051999996,-73.9449275
"103",6.47515527999996,-73.9449275
"104",6.47443003999996,-73.9449275
"105",6.47370479999996,-73.9449275
"106",6.47297955999996,-73.9449275
"107",6.47225431999996,-73.9449275
"108",6.47152907999996,-73.9449275
"109",6.47080383999996,-73.9449275
"110",6.47007859999996,-73.9449275
"111",6.46935335999996,-73.9449275
"112",6.46862811999995,-73.9449275
"113",6.46790287999995,-73.9449275
"114",6.46717763999995,-73.9449275
"115",6.46645239999995,-73.9449275
"116",6.46572715999995,-73.9449275
"117",6.46500191999995,-73.9449275
"118",6.46427667999995,-73.9449275
"119",6.46355143999995,-73.9449275
"120",6.46282619999995,-73.9449275
"121",6.46210095999995,-73.9449275
"122",6.46137571999995,-73.9449275
"123",6.46065047999995,-73.9449275
"124",6.45992523999995,-73.9449275
"125",6.549855,-73.943205055
"126",6.54912976,-73.943205055
"127",6.54840452,-73.943205055
"128",6.54767928,-73.943205055
"129",6.54695404,-73.943205055
"130",6.5462288,-73.943205055
"131",6.54550356,-73.943205055
"132",6.54477832,-73.943205055
"133",6.54405308,-73.943205055
"134",6.54332784,-73.943205055
"135",6.5426026,-73.943205055
"136",6.54187736,-73.943205055
"137",6.54115212,-73.943205055
"138",6.54042687999999,-73.943205055
"139",6.53970163999999,-73.943205055
"140",6.53897639999999,-73.943205055
"141",6.53825115999999,-73.943205055
"142",6.53752591999999,-73.943205055
"143",6.53680067999999,-73.943205055
"144",6.53607543999999,-73.943205055
"145",6.53535019999999,-73.943205055
"146",6.53462495999999,-73.943205055
