Punto,Lat,Long
"0",6.549855,-73.9449275
"1",6.549855,-73.94420226
"2",6.549855,-73.94347702
"3",6.549855,-73.94275178
"4",6.549855,-73.94202654
"5",6.549855,-73.9413013
"6",6.549855,-73.94057606
"7",6.549855,-73.93985082
"8",6.549855,-73.9391255800001
"9",6.549855,-73.9384003400001
"10",6.549855,-73.9376751000001
"11",6.549855,-73.9369498600001
"12",6.549855,-73.9362246200001
"13",6.549855,-73.9354993800001
"14",6.549855,-73.9347741400001
"15",6.549855,-73.9340489000001
"16",6.549855,-73.9333236600001
"17",6.549855,-73.9325984200001
"18",6.549855,-73.9318731800001
"19",6.549855,-73.9311479400001
"20",6.549855,-73.9304227000001
"21",6.549855,-73.9296974600001
"22",6.549855,-73.9289722200001
"23",6.549855,-73.9282469800001
"24",6.549855,-73.9275217400001
"25",6.549855,-73.9267965000002
"26",6.549855,-73.9260712600002
"27",6.549855,-73.9253460200002
"28",6.549855,-73.9246207800002
"29",6.549855,-73.9238955400002
"30",6.549855,-73.9231703000002
"31",6.549855,-73.9224450600002
"32",6.549855,-73.9217198200002
"33",6.549855,-73.9209945800002
"34",6.549855,-73.9202693400002
"35",6.549855,-73.9195441000002
"36",6.549855,-73.9188188600002
"37",6.549855,-73.9180936200002
"38",6.549855,-73.9173683800002
"39",6.549855,-73.9166431400002
"40",6.549855,-73.9159179000002
"41",6.549855,-73.9151926600002
"42",6.549855,-73.9144674200002
"43",6.549855,-73.9137421800003
"44",6.549855,-73.9130169400003
"45",6.549855,-73.9122917000003
"46",6.549855,-73.9115664600003
"47",6.549855,-73.9108412200003
"48",6.549855,-73.9101159800003
"49",6.549855,-73.9093907400003
"50",6.549855,-73.9086655000003
"51",6.549855,-73.9079402600003
"52",6.549855,-73.9072150200003
"53",6.549855,-73.9064897800003
"54",6.549855,-73.9057645400003
"55",6.549855,-73.9050393000003
"56",6.549855,-73.9043140600003
"57",6.549855,-73.9035888200003
"58",6.549855,-73.9028635800003
"59",6.549855,-73.9021383400003
"60",6.549855,-73.9014131000004
"61",6.549855,-73.9006878600004
"62",6.549855,-73.8999626200004
"63",6.548132555,-73.9449275
"64",6.548132555,-73.94420226
"65",6.548132555,-73.94347702
"66",6.548132555,-73.94275178
"67",6.548132555,-73.94202654
"68",6.548132555,-73.9413013
"69",6.548132555,-73.94057606
"70",6.548132555,-73.93985082
"71",6.548132555,-73.9391255800001
"72",6.548132555,-73.9384003400001
"73",6.548132555,-73.9376751000001
"74",6.548132555,-73.9369498600001
"75",6.548132555,-73.9362246200001
"76",6.548132555,-73.9354993800001
"77",6.548132555,-73.9347741400001
"78",6.548132555,-73.9340489000001
"79",6.548132555,-73.9333236600001
"80",6.548132555,-73.9325984200001
"81",6.548132555,-73.9318731800001
"82",6.548132555,-73.9311479400001
"83",6.548132555,-73.9304227000001
"84",6.548132555,-73.9296974600001
"85",6.548132555,-73.9289722200001
"86",6.548132555,-73.9282469800001
"87",6.548132555,-73.9275217400001
"88",6.548132555,-73.9267965000002
"89",6.548132555,-73.9260712600002
"90",6.548132555,-73.9253460200002
"91",6.548132555,-73.9246207800002
"92",6.548132555,-73.9238955400002
"93",6.548132555,-73.9231703000002
"94",6.548132555,-73.9224450600002
"95",6.548132555,-73.9217198200002
"96",6.548132555,-73.9209945800002
"97",6.548132555,-73.9202693400002
"98",6.548132555,-73.9195441000002
"99",6.548132555,-73.9188188600002
"100",6.548132555,-73.9180936200002
"101",6.548132555,-73.9173683800002
"102",6.548132555,-73.9166431400002
"103",6.548132555,-73.9159179000002
"104",6.548132555,-73.9151926600002
"105",6.548132555,-73.9144674200002
"106",6.548132555,-73.9137421800003
"107",6.548132555,-73.9130169400003
"108",6.548132555,-73.9122917000003
"109",6.548132555,-73.9115664600003
"110",6.548132555,-73.9108412200003
"111",6.548132555,-73.9101159800003
"112",6.548132555,-73.9093907400003
"113",6.548132555,-73.9086655000003
"114",6.548132555,-73.9079402600003
"115",6.548132555,-73.9072150200003
"116",6.548132555,-73.9064897800003
"117",6.548132555,-73.9057645400003
"118",6.548132555,-73.9050393000003
"119",6.548132555,-73.9043140600003
"120",6.548132555,-73.9035888200003
"121",6.548132555,-73.9028635800003
"122",6.548132555,-73.9021383400003
"123",6.548132555,-73.9014131000004
"124",6.548132555,-73.9006878600004
"125",6.548132555,-73.8999626200004
"126",6.54641011,-73.9449275
"127",6.54641011,-73.94420226
"128",6.54641011,-73.94347702
"129",6.54641011,-73.94275178
"130",6.54641011,-73.94202654
"131",6.54641011,-73.9413013
"132",6.54641011,-73.94057606
"133",6.54641011,-73.93985082
"134",6.54641011,-73.9391255800001
"135",6.54641011,-73.9384003400001
"136",6.54641011,-73.9376751000001
"137",6.54641011,-73.9369498600001
"138",6.54641011,-73.9362246200001
"139",6.54641011,-73.9354993800001
"140",6.54641011,-73.9347741400001
"141",6.54641011,-73.9340489000001
"142",6.54641011,-73.9333236600001
"143",6.54641011,-73.9325984200001
"144",6.54641011,-73.9318731800001
"145",6.54641011,-73.9311479400001
