Punto,Lat,Long
0,6.549855,-73.9449275
1,6.549855,-73.94420226000001
2,6.549855,-73.94347702000002
3,6.549855,-73.94275178000002
4,6.549855,-73.94202654000003
5,6.549855,-73.94130130000003
6,6.549855,-73.94057606000004
7,6.549855,-73.93985082000005
8,6.549855,-73.93912558000005
9,6.549855,-73.93840034000006
10,6.549855,-73.93767510000006
11,6.549855,-73.93694986000007
12,6.549855,-73.93622462000008
13,6.549855,-73.93549938000008
14,6.549855,-73.93477414000009
15,6.549855,-73.93404890000009
16,6.549855,-73.9333236600001
17,6.549855,-73.9325984200001
18,6.549855,-73.93187318000011
19,6.549855,-73.93114794000012
20,6.549855,-73.93042270000012
21,6.549855,-73.92969746000013
22,6.549855,-73.92897222000013
23,6.549855,-73.92824698000014
24,6.549855,-73.92752174000015
25,6.549855,-73.92679650000015
26,6.549855,-73.92607126000016
27,6.549855,-73.92534602000016
28,6.549855,-73.92462078000017
29,6.549855,-73.92389554000017
30,6.549855,-73.92317030000018
31,6.549855,-73.92244506000019
32,6.549855,-73.92171982000019
33,6.549855,-73.9209945800002
34,6.549855,-73.9202693400002
35,6.549855,-73.91954410000021
36,6.549855,-73.91881886000021
37,6.549855,-73.91809362000022
38,6.549855,-73.91736838000023
39,6.549855,-73.91664314000023
40,6.549855,-73.91591790000024
41,6.549855,-73.91519266000024
42,6.549855,-73.91446742000025
43,6.549855,-73.91374218000026
44,6.549855,-73.91301694000026
45,6.549855,-73.91229170000027
46,6.549855,-73.91156646000027
47,6.549855,-73.91084122000028
48,6.549855,-73.91011598000028
49,6.549855,-73.90939074000029
50,6.549855,-73.9086655000003
51,6.549855,-73.9079402600003
52,6.549855,-73.90721502000031
53,6.549855,-73.90648978000031
54,6.549855,-73.90576454000032
55,6.549855,-73.90503930000033
56,6.549855,-73.90431406000033
57,6.549855,-73.90358882000034
58,6.549855,-73.90286358000034
59,6.549855,-73.90213834000035
60,6.549855,-73.90141310000035
61,6.549855,-73.90068786000036
62,6.549855,-73.89996262000037
63,6.548132555,-73.9449275
64,6.548132555,-73.94420226000001
65,6.548132555,-73.94347702000002
66,6.548132555,-73.94275178000002
67,6.548132555,-73.94202654000003
68,6.548132555,-73.94130130000003
69,6.548132555,-73.94057606000004
70,6.548132555,-73.93985082000005
71,6.548132555,-73.93912558000005
72,6.548132555,-73.93840034000006
73,6.548132555,-73.93767510000006
74,6.548132555,-73.93694986000007
75,6.548132555,-73.93622462000008
76,6.548132555,-73.93549938000008
77,6.548132555,-73.93477414000009
78,6.548132555,-73.93404890000009
79,6.548132555,-73.9333236600001
80,6.548132555,-73.9325984200001
81,6.548132555,-73.93187318000011
82,6.548132555,-73.93114794000012
83,6.548132555,-73.93042270000012
84,6.548132555,-73.92969746000013
85,6.548132555,-73.92897222000013
86,6.548132555,-73.92824698000014
87,6.548132555,-73.92752174000015
88,6.548132555,-73.92679650000015
89,6.548132555,-73.92607126000016
90,6.548132555,-73.92534602000016
91,6.548132555,-73.92462078000017
92,6.548132555,-73.92389554000017
93,6.548132555,-73.92317030000018
94,6.548132555,-73.92244506000019
95,6.548132555,-73.92171982000019
96,6.548132555,-73.9209945800002
97,6.548132555,-73.9202693400002
98,6.548132555,-73.91954410000021
99,6.548132555,-73.91881886000021
100,6.548132555,-73.91809362000022
101,6.548132555,-73.91736838000023
102,6.548132555,-73.91664314000023
103,6.548132555,-73.91591790000024
104,6.548132555,-73.91519266000024
105,6.548132555,-73.91446742000025
106,6.548132555,-73.91374218000026
107,6.548132555,-73.91301694000026
108,6.548132555,-73.91229170000027
109,6.548132555,-73.91156646000027
110,6.548132555,-73.91084122000028
111,6.548132555,-73.91011598000028
112,6.548132555,-73.90939074000029
113,6.548132555,-73.9086655000003
114,6.548132555,-73.9079402600003
115,6.548132555,-73.90721502000031
116,6.548132555,-73.90648978000031
117,6.548132555,-73.90576454000032
118,6.548132555,-73.90503930000033
119,6.548132555,-73.90431406000033
120,6.548132555,-73.90358882000034
121,6.548132555,-73.90286358000034
122,6.548132555,-73.90213834000035
123,6.548132555,-73.90141310000035
124,6.548132555,-73.90068786000036
125,6.548132555,-73.89996262000037
126,6.546410109999999,-73.9449275
127,6.546410109999999,-73.94420226000001
128,6.546410109999999,-73.94347702000002
129,6.546410109999999,-73.94275178000002
130,6.546410109999999,-73.94202654000003
131,6.546410109999999,-73.94130130000003
132,6.546410109999999,-73.94057606000004
133,6.546410109999999,-73.93985082000005
134,6.546410109999999,-73.93912558000005
135,6.546410109999999,-73.93840034000006
136,6.546410109999999,-73.93767510000006
137,6.546410109999999,-73.93694986000007
138,6.546410109999999,-73.93622462000008
139,6.546410109999999,-73.93549938000008
140,6.546410109999999,-73.93477414000009
141,6.546410109999999,-73.93404890000009
142,6.546410109999999,-73.9333236600001
143,6.546410109999999,-73.9325984200001
144,6.546410109999999,-73.93187318000011
145,6.546410109999999,-73.93114794000012
146,6.546410109999999,-73.93042270000012
147,6.546410109999999,-73.92969746000013
148,6.546410109999999,-73.92897222000013
149,6.546410109999999,-73.92824698000014
150,6.546410109999999,-73.92752174000015
151,6.546410109999999,-73.92679650000015
152,6.546410109999999,-73.92607126000016
153,6.546410109999999,-73.92534602000016
154,6.546410109999999,-73.92462078000017
155,6.546410109999999,-73.92389554000017
156,6.546410109999999,-73.92317030000018
157,6.546410109999999,-73.92244506000019
158,6.546410109999999,-73.92171982000019
159,6.546410109999999,-73.9209945800002
160,6.546410109999999,-73.9202693400002
161,6.546410109999999,-73.91954410000021
162,6.546410109999999,-73.91881886000021
163,6.546410109999999,-73.91809362000022
164,6.546410109999999,-73.91736838000023
165,6.546410109999999,-73.91664314000023
166,6.546410109999999,-73.91591790000024
167,6.546410109999999,-73.91519266000024
168,6.546410109999999,-73.91446742000025
169,6.546410109999999,-73.91374218000026
170,6.546410109999999,-73.91301694000026
171,6.546410109999999,-73.91229170000027
172,6.546410109999999,-73.91156646000027
173,6.546410109999999,-73.91084122000028
174,6.546410109999999,-73.91011598000028
175,6.546410109999999,-73.90939074000029
176,6.546410109999999,-73.9086655000003
177,6.546410109999999,-73.9079402600003
178,6.546410109999999,-73.90721502000031
179,6.546410109999999,-73.90648978000031
180,6.546410109999999,-73.90576454000032
181,6.546410109999999,-73.90503930000033
182,6.546410109999999,-73.90431406000033
183,6.546410109999999,-73.90358882000034
184,6.546410109999999,-73.90286358000034
185,6.546410109999999,-73.90213834000035
186,6.546410109999999,-73.90141310000035
187,6.546410109999999,-73.90068786000036
188,6.546410109999999,-73.89996262000037
189,6.544687664999999,-73.9449275
190,6.544687664999999,-73.94420226000001
191,6.544687664999999,-73.94347702000002
192,6.544687664999999,-73.94275178000002
193,6.544687664999999,-73.94202654000003
194,6.544687664999999,-73.94130130000003
195,6.544687664999999,-73.94057606000004
196,6.544687664999999,-73.93985082000005
197,6.544687664999999,-73.93912558000005
198,6.544687664999999,-73.93840034000006
199,6.544687664999999,-73.93767510000006
200,6.544687664999999,-73.93694986000007
201,6.544687664999999,-73.93622462000008
202,6.544687664999999,-73.93549938000008
203,6.544687664999999,-73.93477414000009
204,6.544687664999999,-73.93404890000009
205,6.544687664999999,-73.9333236600001
206,6.544687664999999,-73.9325984200001
207,6.544687664999999,-73.93187318000011
208,6.544687664999999,-73.93114794000012
209,6.544687664999999,-73.93042270000012
210,6.544687664999999,-73.92969746000013
211,6.544687664999999,-73.92897222000013
212,6.544687664999999,-73.92824698000014
213,6.544687664999999,-73.92752174000015
214,6.544687664999999,-73.92679650000015
215,6.544687664999999,-73.92607126000016
216,6.544687664999999,-73.92534602000016
217,6.544687664999999,-73.92462078000017
218,6.544687664999999,-73.92389554000017
219,6.544687664999999,-73.92317030000018
220,6.544687664999999,-73.92244506000019
221,6.544687664999999,-73.92171982000019
222,6.544687664999999,-73.9209945800002
223,6.544687664999999,-73.9202693400002
224,6.544687664999999,-73.91954410000021
225,6.544687664999999,-73.91881886000021
226,6.544687664999999,-73.91809362000022
227,6.544687664999999,-73.91736838000023
228,6.544687664999999,-73.91664314000023
229,6.544687664999999,-73.91591790000024
230,6.544687664999999,-73.91519266000024
231,6.544687664999999,-73.91446742000025
232,6.544687664999999,-73.91374218000026
233,6.544687664999999,-73.91301694000026
234,6.544687664999999,-73.91229170000027
235,6.544687664999999,-73.91156646000027
236,6.544687664999999,-73.91084122000028
237,6.544687664999999,-73.91011598000028
238,6.544687664999999,-73.90939074000029
239,6.544687664999999,-73.9086655000003
240,6.544687664999999,-73.9079402600003
241,6.544687664999999,-73.90721502000031
242,6.544687664999999,-73.90648978000031
243,6.544687664999999,-73.90576454000032
244,6.544687664999999,-73.90503930000033
245,6.544687664999999,-73.90431406000033
246,6.544687664999999,-73.90358882000034
247,6.544687664999999,-73.90286358000034
248,6.544687664999999,-73.90213834000035
249,6.544687664999999,-73.90141310000035
250,6.544687664999999,-73.90068786000036
251,6.544687664999999,-73.89996262000037
252,6.542965219999998,-73.9449275
253,6.542965219999998,-73.94420226000001
254,6.542965219999998,-73.94347702000002
255,6.542965219999998,-73.94275178000002
256,6.542965219999998,-73.94202654000003
257,6.542965219999998,-73.94130130000003
258,6.542965219999998,-73.94057606000004
259,6.542965219999998,-73.93985082000005
260,6.542965219999998,-73.93912558000005
261,6.542965219999998,-73.93840034000006
262,6.542965219999998,-73.93767510000006
263,6.542965219999998,-73.93694986000007
264,6.542965219999998,-73.93622462000008
265,6.542965219999998,-73.93549938000008
266,6.542965219999998,-73.93477414000009
267,6.542965219999998,-73.93404890000009
268,6.542965219999998,-73.9333236600001
269,6.542965219999998,-73.9325984200001
270,6.542965219999998,-73.93187318000011
271,6.542965219999998,-73.93114794000012
272,6.542965219999998,-73.93042270000012
273,6.542965219999998,-73.92969746000013
274,6.542965219999998,-73.92897222000013
