id,lat,lon,E,N
0,6.549855,-73.9449275,616648.4048058892,724109.882196975
1,6.549855,-73.94420226,616728.5959547895,724110.0507157026
2,6.549855,-73.94347702,616808.7871220293,724110.2193502927
3,6.549855,-73.94275178,616888.9783076256,724110.3881007456
4,6.549855,-73.94202654,616969.1695115895,724110.5569670614
5,6.549855,-73.9413013,617049.3607339322,724110.72594924
6,6.549855,-73.94057606,617129.5519746691,724110.8950472818
7,6.549855,-73.93985082,617209.7432338101,724111.0642611871
8,6.549855,-73.93912558,617289.9345113719,724111.2335909556
9,6.549855,-73.93840034,617370.1258073616,724111.4030365876
10,6.549855,-73.9376751,617450.3171217946,724111.5725980835
11,6.549855,-73.93694986,617530.5084546848,724111.742275443
12,6.549855,-73.93622462,617610.6998060434,724111.9120686667
13,6.549855,-73.93549938,617690.8911758831,724112.0819777544
14,6.549855,-73.93477414,617771.0825642152,724112.2520027063
15,6.549855,-73.9340489,617851.2739710562,724112.4221435225
16,6.549855,-73.93332366,617931.4653964135,724112.5924002031
17,6.549855,-73.93259842,618011.656840302,724112.7627727486
18,6.549855,-73.93187318,618091.8483027364,724112.9332611588
19,6.549855,-73.93114794,618172.0397837273,724113.1038654337
20,6.549855,-73.9304227,618252.2312832875,724113.2745855739
21,6.549855,-73.92969746,618332.4228014282,724113.4454215791
22,6.549855,-73.92897222,618412.6143381635,724113.6163734497
23,6.549855,-73.92824698,618492.8058935088,724113.7874411857
24,6.549855,-73.92752174,618572.997467471,724113.9586247874
25,6.549855,-73.9267965,618653.1890600671,724114.1299242547
26,6.549855,-73.92607126,618733.3806713065,724114.3013395879
27,6.549855,-73.92534602,618813.572301205,724114.4728707871
28,6.549855,-73.92462078,618893.7639497736,724114.6445178523
29,6.549855,-73.92389554,618973.9556170237,724114.8162807842
30,6.549855,-73.9231703,619054.1473029719,724114.9881595821
31,6.549855,-73.92244506,619134.3390076254,724115.1601542465
32,6.549855,-73.92171982,619214.5307309994,724115.3322647779
33,6.549855,-73.92099458,619294.722473108,724115.5044911759
34,6.549855,-73.92026934,619374.9142339625,724115.6768334409
35,6.549855,-73.9195441,619455.1060135755,724115.849291573
36,6.549855,-73.91881886,619535.297811958,724116.0218655723
37,6.549855,-73.91809362,619615.4896291256,724116.194555439
38,6.549855,-73.91736838,619695.6814650893,724116.3673611732
39,6.549855,-73.91664314,619775.8733198605,724116.5402827751
40,6.549855,-73.9159179,619856.0651934547,724116.7133202448
41,6.549855,-73.91519266,619936.2570858814,724116.8864735825
42,6.549855,-73.91446742,620016.4489971577,724117.059742788
43,6.549855,-73.91374218,620096.6409272905,724117.2331278619
44,6.549855,-73.91301694,620176.8328762951,724117.406628804
45,6.549855,-73.9122917,620257.0248441871,724117.5802456146
46,6.549855,-73.91156646,620337.2168309733,724117.7539782941
47,6.549855,-73.91084122,620417.4088366706,724117.927826842
48,6.549855,-73.91011598,620497.6008612888,724118.1017912589
49,6.549855,-73.90939074,620577.7929048435,724118.2758715448
50,6.549855,-73.9086655,620657.9849673455,724118.4500677
51,6.549855,-73.90794026,620738.1770488063,724118.6243797245
52,6.549855,-73.90721502,620818.3691492428,724118.7988076184
53,6.549855,-73.90648978,620898.5612686618,724118.973351382
54,6.549855,-73.90576454,620978.7534070786,724119.1480110151
55,6.549855,-73.9050393,621058.9455645075,724119.322786518
56,6.549855,-73.90431406,621139.1377409595,724119.497677891
57,6.549855,-73.90358882,621219.3299364473,724119.6726851343
58,6.549855,-73.90286358,621299.5221509822,724119.8478082479
59,6.549855,-73.90213834,621379.7143845793,724120.0230472316
60,6.549855,-73.9014131,621459.9066372502,724120.1984020864
61,6.549855,-73.90068786,621540.0989090059,724120.3738728116
62,6.549855,-73.89996262,621620.2911998617,724120.5494594075
63,6.548132555,-73.9449275,616648.8048153414,723919.4437418657
64,6.548132555,-73.94420226,616728.9962393568,723919.6122170484
65,6.548132555,-73.94347702,616809.1876817121,723919.7808080635
66,6.548132555,-73.94275178,616889.3791424241,723919.9495149114
67,6.548132555,-73.94202654,616969.5706215041,723920.1183375923
68,6.548132555,-73.9413013,617049.7621189631,723920.2872761062
69,6.548132555,-73.94057606,617129.9536348168,723920.4563304535
70,6.548132555,-73.93985082,617210.1451690748,723920.6255006341
71,6.548132555,-73.93912558,617290.3367217539,723920.794786648
72,6.548132555,-73.93840034,617370.5282928613,723920.9641884957
73,6.548132555,-73.9376751,617450.7198824122,723921.1337061769
74,6.548132555,-73.93694986,617530.9114904207,723921.3033396922
75,6.548132555,-73.93622462,617611.103116898,723921.4730890414
76,6.548132555,-73.93549938,617691.2947618567,723921.642954225
77,6.548132555,-73.93477414,617771.4864253079,723921.8129352425
78,6.548132555,-73.9340489,617851.6781072686,723921.9830320947
79,6.548132555,-73.93332366,617931.8698077458,723922.1532447813
