id,lat,lon,E,N
0,6.549855,-73.9449275,616648.4048058892,724109.882196975
1,6.54912976,-73.9449275,616648.5732436919,724029.6975827634
2,6.54840452,-73.9449275,616648.7416629198,723949.5129707834
3,6.54767928,-73.9449275,616648.9100635727,723869.3283610342
4,6.54695404,-73.9449275,616649.0784456508,723789.1437535159
5,6.5462288,-73.9449275,616649.2468091538,723708.9591482282
6,6.54550356,-73.9449275,616649.4151540818,723628.7745451713
7,6.54477832,-73.9449275,616649.5834804348,723548.5899443439
8,6.54405308,-73.9449275,616649.7517882129,723468.4053457468
9,6.54332784,-73.9449275,616649.9200774159,723388.2207493795
10,6.5426026,-73.9449275,616650.0883480437,723308.0361552413
11,6.54187736,-73.9449275,616650.2566000965,723227.8515633324
12,6.54115212,-73.9449275,616650.424833574,723147.6669736522
13,6.54042688,-73.9449275,616650.5930484765,723067.4823862009
14,6.53970164,-73.9449275,616650.7612448037,722987.2978009782
15,6.5389764,-73.9449275,616650.9294225557,722907.1132179836
16,6.53825116,-73.9449275,616651.0975817326,722826.9286372167
17,6.53752592,-73.9449275,616651.2657223342,722746.7440586777
18,6.53680068,-73.9449275,616651.4338443603,722666.5594823662
19,6.53607544,-73.9449275,616651.6019478113,722586.374908282
20,6.5353502,-73.9449275,616651.7700326869,722506.1903364246
21,6.53462496,-73.9449275,616651.9380989871,722426.0057667941
22,6.53389972,-73.9449275,616652.1061467119,722345.82119939
23,6.53317448,-73.9449275,616652.2741758613,722265.6366342121
24,6.53244924,-73.9449275,616652.4421864352,722185.4520712603
25,6.531724,-73.9449275,616652.6101784337,722105.2675105341
26,6.53099876,-73.9449275,616652.7781518567,722025.0829520337
27,6.53027352,-73.9449275,616652.9461067042,721944.8983957584
28,6.52954828,-73.9449275,616653.114042976,721864.7138417084
29,6.52882304,-73.9449275,616653.2819606725,721784.5292898827
30,6.5280978,-73.9449275,616653.4498597933,721704.344740282
31,6.52737256,-73.9449275,616653.6177403383,721624.1601929056
32,6.52664732,-73.9449275,616653.7856023079,721543.9756477529
33,6.52592208,-73.9449275,616653.9534457016,721463.7911048244
34,6.52519684,-73.9449275,616654.1212705198,721383.6065641196
35,6.5244716,-73.9449275,616654.2890767623,721303.4220256377
36,6.52374636,-73.9449275,616654.4568644289,721223.2374893792
37,6.52302112,-73.9449275,616654.6246335197,721143.0529553433
38,6.52229588,-73.9449275,616654.7923840348,721062.8684235301
39,6.52157064,-73.9449275,616654.9601159741,720982.6838939395
40,6.5208454,-73.9449275,616655.1278293375,720902.4993665708
41,6.52012016,-73.9449275,616655.295524125,720822.3148414241
42,6.51939492,-73.9449275,616655.4632003367,720742.1303184989
43,6.51866968,-73.9449275,616655.6308579723,720661.9457977952
44,6.51794444,-73.9449275,616655.7984970321,720581.7612793125
45,6.5172192,-73.9449275,616655.9661175159,720501.5767630509
46,6.51649396,-73.9449275,616656.1337194237,720421.3922490099
47,6.51576872,-73.9449275,616656.3013027554,720341.2077371893
48,6.51504348,-73.9449275,616656.468867511,720261.0232275891
49,6.51431824,-73.9449275,616656.6364136908,720180.8387202085
50,6.513593,-73.9449275,616656.8039412943,720100.654215048
51,6.51286776,-73.9449275,616656.9714503216,720020.4697121063
52,6.51214252,-73.9449275,616657.1389407729,719940.2852113845
53,6.51141728,-73.9449275,616657.306412648,719860.1007128813
54,6.51069204,-73.9449275,616657.4738659468,719779.916216597
55,6.5099668,-73.9449275,616657.6413006694,719699.731722531
56,6.50924156,-73.9449275,616657.8087168158,719619.5472306835
57,6.50851632,-73.9449275,616657.9761143859,719539.3627410537
58,6.50779108,-73.9449275,616658.1434933796,719459.1782536416
59,6.50706584,-73.9449275,616658.3108537971,719378.9937684475
60,6.5063406,-73.9449275,616658.4781956382,719298.8092854699
61,6.50561536,-73.9449275,616658.6455189029,719218.6248047102
62,6.50489012,-73.9449275,616658.8128235913,719138.4403261667
63,6.50416488,-73.9449275,616658.980109703,719058.25584984
64,6.50343964,-73.9449275,616659.1473772385,718978.0713757293
65,6.5027144,-73.9449275,616659.3146261974,718897.8869038351
66,6.50198916,-73.9449275,616659.4818565799,718817.7024341563
67,6.50126392,-73.9449275,616659.6490683858,718737.5179666933
68,6.50053868,-73.9449275,616659.8162616151,718657.3335014455
69,6.49981344,-73.9449275,616659.9834362679,718577.1490384127
70,6.4990882,-73.9449275,616660.1505923441,718496.964577595
71,6.49836296,-73.9449275,616660.3177298435,718416.7801189919
72,6.49763772,-73.9449275,616660.4848487665,718336.5956626029
73,6.49691248,-73.9449275,616660.6519491127,718256.411208428
74,6.49618724,-73.9449275,616660.8190308821,718176.2267564671
75,6.495462,-73.9449275,616660.9860940748,718096.0423067197
76,6.49473676,-73.9449275,616661.1531386907,718015.857859186
77,6.49401152,-73.9449275,616661.32016473,717935.6734138653
78,6.49328628,-73.9449275,616661.4871721924,717855.4889707575
79,6.49256104,-73.9449275,616661.6541610779,717775.304529862
80,6.4918358,-73.9449275,616661.8211313866,717695.1200911793
81,6.49111056,-73.9449275,616661.9880831183,717614.9356547085
82,6.49038532,-73.9449275,616662.1550162733,717534.7512204497
83,6.48966008,-73.9449275,616662.3219308512,717454.5667884029
84,6.48893484,-73.9449275,616662.4888268522,717374.3823585672
85,6.4882096,-73.9449275,616662.6557042762,717294.1979309428
86,6.48748436,-73.9449275,616662.8225631232,717214.013505529
87,6.48675912,-73.9449275,616662.9894033931,717133.8290823265
88,6.48603388,-73.9449275,616663.156225086,717053.6446613341
89,6.48530864,-73.9449275,616663.3230282018,716973.460242552
90,6.4845834,-73.9449275,616663.4898127405,716893.2758259799
91,6.48385816,-73.9449275,616663.656578702,716813.0914116175
92,6.48313292,-73.9449275,616663.8233260864,716732.9069994645
93,6.48240768,-73.9449275,616663.9900548935,716652.7225895209
94,6.48168244,-73.9449275,616664.1567651236,716572.5381817862
95,6.4809572,-73.9449275,616664.3234567763,716492.3537762603
96,6.48023196,-73.9449275,616664.4901298519,716412.1693729429
97,6.47950672,-73.9449275,616664.65678435,716331.9849718341
98,6.47878148,-73.9449275,616664.8234202708,716251.8005729329
99,6.47805624,-73.9449275,616664.9900376145,716171.6161762397
100,6.477331,-73.9449275,616665.1566363806,716091.431781754
101,6.47660576,-73.9449275,616665.3232165694,716011.2473894755
102,6.47588052,-73.9449275,616665.4897781807,715931.062999404
103,6.47515528,-73.9449275,616665.6563212147,715850.8786115397
104,6.47443004,-73.9449275,616665.8228456711,715770.6942258818
105,6.4737048,-73.9449275,616665.9893515501,715690.5098424301
106,6.47297956,-73.9449275,616666.1558388516,715610.3254611846
107,6.47225432,-73.9449275,616666.3223075755,715530.1410821449
108,6.47152908,-73.9449275,616666.4887577218,715449.9567053107
109,6.47080384,-73.9449275,616666.6551892906,715369.7723306821
110,6.4700786,-73.9449275,616666.8216022818,715289.5879582583
111,6.46935336,-73.9449275,616666.9879966952,715209.4035880398
112,6.46862812,-73.9449275,616667.1543725311,715129.2192200257
113,6.46790288,-73.9449275,616667.3207297892,715049.0348542158
114,6.46717764,-73.9449275,616667.4870684696,714968.8504906103
115,6.4664524,-73.9449275,616667.6533885724,714888.6661292088
116,6.46572716,-73.9449275,616667.8196900972,714808.4817700107
117,6.46500192,-73.9449275,616667.9859730443,714728.297413016
118,6.46427668,-73.9449275,616668.1522374137,714648.1130582248
119,6.46355144,-73.9449275,616668.3184832052,714567.9287056362
120,6.4628262,-73.9449275,616668.4847104187,714487.7443552503
121,6.46210096,-73.9449275,616668.6509190545,714407.5600070672
122,6.46137572,-73.9449275,616668.8171091123,714327.375661086
123,6.46065048,-73.9449275,616668.9832805921,714247.1913173066
124,6.45992524,-73.9449275,616669.149433494,714167.0069757291
125,6.549855,-73.94320506,616838.8582616168,724110.2826169715
126,6.54912976,-73.94320506,616839.0269745549,724030.0979591947
127,6.54840452,-73.94320506,616839.1956688878,723949.9133036489
128,6.54767928,-73.94320506,616839.3643446155,723869.7286503341
129,6.54695404,-73.94320506,616839.5330017378,723789.5439992497
130,6.5462288,-73.94320506,616839.7016402549,723709.3593503957
131,6.54550356,-73.94320506,616839.8702601666,723629.1747037722
132,6.54477832,-73.94320506,616840.038861473,723548.9900593782
133,6.54405308,-73.94320506,616840.207444174,723468.8054172139
134,6.54332784,-73.94320506,616840.3760082696,723388.6207772793
135,6.5426026,-73.94320506,616840.5445537597,723308.4361395735
136,6.54187736,-73.94320506,616840.7130806445,723228.2515040968
137,6.54115212,-73.94320506,616840.8815889237,723148.0668708485
138,6.54042688,-73.94320506,616841.0500785975,723067.8822398289
139,6.53970164,-73.94320506,616841.2185496656,722987.6976110374
140,6.5389764,-73.94320506,616841.3870021284,722907.5129844741
141,6.53825116,-73.94320506,616841.5554359854,722827.328360138
142,6.53752592,-73.94320506,616841.7238512369,722747.1437380298
143,6.53680068,-73.94320506,616841.8922478828,722666.9591181487
144,6.53607544,-73.94320506,616842.0606259229,722586.7745004945
145,6.5353502,-73.94320506,616842.2289853573,722506.5898850671
146,6.53462496,-73.94320506,616842.3973261862,722426.4052718661
147,6.53389972,-73.94320506,616842.5656484092,722346.2206608914
148,6.53317448,-73.94320506,616842.7339520265,722266.0360521426
149,6.53244924,-73.94320506,616842.902237038,722185.8514456198
150,6.531724,-73.94320506,616843.0705034437,722105.6668413223
151,6.53099876,-73.94320506,616843.2387512435,722025.4822392501
152,6.53027352,-73.94320506,616843.4069804375,721945.2976394028
153,6.52954828,-73.94320506,616843.5751910256,721865.1130417805
154,6.52882304,-73.94320506,616843.7433830077,721784.9284463827
155,6.5280978,-73.94320506,616843.9115563841,721704.7438532093
156,6.52737256,-73.94320506,616844.0797111543,721624.5592622599
157,6.52664732,-73.94320506,616844.2478473185,721544.3746735341
158,6.52592208,-73.94320506,616844.4159648769,721464.190087032
159,6.52519684,-73.94320506,616844.5840638292,721384.0055027534
160,6.5244716,-73.94320506,616844.7521441753,721303.8209206978
161,6.52374636,-73.94320506,616844.9202059155,721223.6363408648
162,6.52302112,-73.94320506,616845.0882490494,721143.4517632548
163,6.52229588,-73.94320506,616845.2562735772,721063.2671878667
164,6.52157064,-73.94320506,616845.4242794989,720983.0826147009
165,6.5208454,-73.94320506,616845.5922668143,720902.8980437572
166,6.52012016,-73.94320506,616845.7602355236,720822.713475035
167,6.51939492,-73.94320506,616845.9281856266,720742.5289085342
168,6.51866968,-73.94320506,616846.0961171234,720662.3443442544
169,6.51794444,-73.94320506,616846.2640300138,720582.1597821956
170,6.5172192,-73.94320506,616846.4319242979,720501.9752223574
171,6.51649396,-73.94320506,616846.5997999758,720421.7906647398
172,6.51576872,-73.94320506,616846.7676570471,720341.6061093421
173,6.51504348,-73.94320506,616846.9354955122,720261.4215561645
174,6.51431824,-73.94320506,616847.1033153707,720181.2370052065
175,6.513593,-73.94320506,616847.271116623,720101.0524564681
176,6.51286776,-73.94320506,616847.4388992686,720020.8679099486
177,6.51214252,-73.94320506,616847.6066633079,719940.6833656484
178,6.51141728,-73.94320506,616847.7744087406,719860.4988235666
179,6.51069204,-73.94320506,616847.9421355666,719780.3142837036
180,6.5099668,-73.94320506,616848.1098437862,719700.1297460587
181,6.50924156,-73.94320506,616848.2775333992,719619.9452106317
182,6.50851632,-73.94320506,616848.4452044055,719539.7606774225
183,6.50779108,-73.94320506,616848.6128568052,719459.5761464306
184,6.50706584,-73.94320506,616848.7804905982,719379.3916176563
185,6.5063406,-73.94320506,616848.9481057845,719299.2070910988
186,6.50561536,-73.94320506,616849.1157023641,719219.0225667581
187,6.50489012,-73.94320506,616849.283280337,719138.8380446339
188,6.50416488,-73.94320506,616849.450839703,719058.6535247262
189,6.50343964,-73.94320506,616849.6183804623,718978.4690070342
190,6.5027144,-73.94320506,616849.7859026147,718898.2844915583
191,6.50198916,-73.94320506,616849.9534061603,718818.099978298
192,6.50126392,-73.94320506,616850.120891099,718737.9154672526
193,6.50053868,-73.94320506,616850.2883574308,718657.7309584225
194,6.49981344,-73.94320506,616850.4558051557,718577.5464518073
195,6.4990882,-73.94320506,616850.6232342736,718497.3619474067
196,6.49836296,-73.94320506,616850.7906447846,718417.1774452204
197,6.49763772,-73.94320506,616850.9580366885,718336.9929452481
198,6.49691248,-73.94320506,616851.1254099854,718256.8084474896
199,6.49618724,-73.94320506,616851.2927646753,718176.623951945
200,6.495462,-73.94320506,616851.4601007581,718096.4394586134
201,6.49473676,-73.94320506,616851.6274182339,718016.2549674952
202,6.49401152,-73.94320506,616851.7947171024,717936.07047859
203,6.49328628,-73.94320506,616851.9619973638,717855.8859918971
204,6.49256104,-73.94320506,616852.129259018,717775.7015074167
205,6.4918358,-73.94320506,616852.2965020651,717695.5170251486
206,6.49111056,-73.94320506,616852.4637265048,717615.3325450922
207,6.49038532,-73.94320506,616852.6309323374,717535.1480672475
208,6.48966008,-73.94320506,616852.7981195627,717454.9635916144
209,6.48893484,-73.94320506,616852.9652881806,717374.7791181925
210,6.4882096,-73.94320506,616853.1324381912,717294.5946469815
211,6.48748436,-73.94320506,616853.2995695946,717214.4101779809
212,6.48675912,-73.94320506,616853.4666823903,717134.2257111911
213,6.48603388,-73.94320506,616853.6337765788,717054.0412466114
214,6.48530864,-73.94320506,616853.80085216,716973.8567842416
215,6.4845834,-73.94320506,616853.9679091335,716893.6723240814
216,6.48385816,-73.94320506,616854.1349474996,716813.487866131
217,6.48313292,-73.94320506,616854.3019672582,716733.3034103897
218,6.48240768,-73.94320506,616854.4689684092,716653.1189568574
219,6.48168244,-73.94320506,616854.6359509528,716572.9345055339
220,6.4809572,-73.94320506,616854.8029148887,716492.7500564187
221,6.48023196,-73.94320506,616854.9698602171,716412.565609512
222,6.47950672,-73.94320506,616855.1367869377,716332.3811648133
