id,x_survey,y_survey,E,N,lon,lat
R_0_0,0.0,0.0,824154.0819997052,475907.88265661214,-72.08,4.299999999999999
R_0_1,0.0,49.05619300455689,824154.0819997052,475956.9388496167,-72.07999831131335,4.300443221650876
R_0_2,0.0,98.11238600911378,824154.0819997052,476005.9950426213,-72.079996622451,4.300886443295942
R_0_3,0.0,147.16857901367067,824154.0819997052,476055.0512356258,-72.079994933413,4.301329664935199
R_0_4,0.0,196.22477201822755,824154.0819997052,476104.10742863035,-72.07999324419931,4.301772886568642
R_0_5,0.0,245.28096502278444,824154.0819997052,476153.16362163494,-72.07999155480995,4.302216108196273
R_0_6,0.0,294.33715802734133,824154.0819997052,476202.2198146395,-72.0799898652449,4.302659329818092
R_0_7,0.0,343.3933510318982,824154.0819997052,476251.276007644,-72.07998817550417,4.303102551434096
R_0_8,0.0,392.4495440364551,824154.0819997052,476300.3322006486,-72.07998648558778,4.303545773044285
R_0_9,0.0,441.505737041012,824154.0819997052,476349.38839365315,-72.07998479549569,4.303988994648659
R_0_10,0.0,490.5619300455689,824154.0819997052,476398.4445866577,-72.07998310522792,4.304432216247216
R_0_11,0.0,539.6181230501257,824154.0819997052,476447.5007796623,-72.07998141478448,4.304875437839961
R_0_12,0.0,588.6743160546827,824154.0819997052,476496.5569726668,-72.07997972416536,4.305318659426885
R_0_13,0.0,637.7305090592396,824154.0819997052,476545.61316567136,-72.07997803337054,4.305761881007993
R_0_14,0.0,686.7867020637964,824154.0819997052,476594.66935867595,-72.07997634240004,4.3062051025832835
R_0_15,0.0,735.8428950683533,824154.0819997052,476643.7255516805,-72.07997465125386,4.3066483241527544
R_0_16,0.0,784.8990880729102,824154.0819997052,476692.781744685,-72.07997295993201,4.307091545716408
R_0_17,0.0,833.9552810774671,824154.0819997052,476741.8379376896,-72.07997126843448,4.307534767274239
R_0_18,0.0,883.011474082024,824154.0819997052,476790.89413069416,-72.07996957676124,4.307977988826251
R_0_19,0.0,932.0676670865809,824154.0819997052,476839.95032369875,-72.07996788491232,4.308421210372442
R_0_20,0.0,981.1238600911378,824154.0819997052,476889.0065167033,-72.07996619288771,4.308864431912811
R_0_21,0.0,1030.1800530956946,824154.0819997052,476938.0627097078,-72.07996450068744,4.30930765344736
R_0_22,0.0,1079.2362461002515,824154.0819997052,476987.1189027124,-72.07996280831145,4.309750874976085
R_0_23,0.0,1128.2924391048084,824154.0819997052,477036.17509571696,-72.07996111575979,4.310194096498983
R_0_24,0.0,1177.3486321093653,824154.0819997052,477085.2312887215,-72.07995942303245,4.3106373180160595
R_0_25,0.0,1226.4048251139222,824154.0819997052,477134.2874817261,-72.07995773012941,4.311080539527313
R_0_26,0.0,1275.4610181184792,824154.0819997052,477183.3436747306,-72.07995603705069,4.311523761032739
R_0_27,0.0,1324.517211123036,824154.0819997052,477232.39986773516,-72.07995434379626,4.311966982532342
R_0_28,0.0,1373.5734041275928,824154.0819997052,477281.45606073976,-72.07995265036615,4.312410204026116
R_0_29,0.0,1422.6295971321497,824154.0819997052,477330.5122537443,-72.07995095676037,4.312853425514065
R_0_30,0.0,1471.6857901367066,824154.0819997052,477379.56844674883,-72.07994926297887,4.313296646996185
R_0_31,0.0,1520.7419831412635,824154.0819997052,477428.6246397534,-72.0799475690217,4.313739868472476
R_0_32,0.0,1569.7981761458204,824154.0819997052,477477.68083275796,-72.07994587488882,4.314183089942941
R_0_33,0.0,1618.8543691503774,824154.0819997052,477526.7370257625,-72.07994418058026,4.314626311407574
R_0_34,0.0,1667.9105621549343,824154.0819997052,477575.7932187671,-72.079942486096,4.315069532866381
R_0_35,0.0,1716.9667551594912,824154.0819997052,477624.84941177163,-72.07994079143604,4.315512754319352
R_0_36,0.0,1766.022948164048,824154.0819997052,477673.90560477617,-72.07993909660041,4.315955975766495
