id,x_survey,y_survey,E,N,lon,lat
S_0_0,0.0,0.0,824154.0819997052,475907.88265661214,-72.08,4.299999999999999
S_0_1,49.05619300455689,0.0,824203.1381927098,475907.88265661214,-72.07955848615607,4.299998304742176
S_0_2,98.11238600911378,0.0,824252.1943857142,475907.88265661214,-72.07911697248784,4.299996609228928
S_0_3,147.16857901367067,0.0,824301.2505787188,475907.88265661214,-72.07867545899533,4.299994913460256
S_0_4,196.22477201822755,0.0,824350.3067717234,475907.88265661214,-72.07823394567859,4.2999932174361595
S_0_5,245.28096502278444,0.0,824399.3629647279,475907.88265661214,-72.07779243253763,4.299991521156642
S_0_6,294.33715802734133,0.0,824448.4191577325,475907.88265661214,-72.07735091957248,4.299989824621701
S_0_7,343.3933510318982,0.0,824497.4753507371,475907.88265661214,-72.07690940678316,4.299988127831337
S_0_8,392.4495440364551,0.0,824546.5315437416,475907.88265661214,-72.0764678941697,4.299986430785553
S_0_9,441.505737041012,0.0,824595.5877367462,475907.88265661214,-72.07602638173213,4.299984733484347
S_0_10,490.5619300455689,0.0,824644.6439297508,475907.88265661214,-72.07558486947049,4.2999830359277205
S_0_11,539.6181230501257,0.0,824693.7001227553,475907.88265661214,-72.07514335738477,4.299981338115674
S_0_12,588.6743160546827,0.0,824742.7563157598,475907.88265661214,-72.07470184547503,4.299979640048209
S_0_13,637.7305090592396,0.0,824791.8125087644,475907.88265661214,-72.07426033374128,4.299977941725324
S_0_14,686.7867020637964,0.0,824840.8687017689,475907.88265661214,-72.07381882218354,4.299976243147021
S_0_15,735.8428950683533,0.0,824889.9248947735,475907.88265661214,-72.07337731080186,4.299974544313298
S_0_16,784.8990880729102,0.0,824938.9810877781,475907.88265661214,-72.07293579959625,4.2999728452241595
S_0_17,833.9552810774671,0.0,824988.0372807826,475907.88265661214,-72.07249428856673,4.299971145879605
S_0_18,883.011474082024,0.0,825037.0934737872,475907.88265661214,-72.07205277771335,4.299969446279632
S_0_19,932.0676670865809,0.0,825086.1496667918,475907.88265661214,-72.07161126703613,4.299967746424243
S_0_20,981.1238600911378,0.0,825135.2058597963,475907.88265661214,-72.07116975653507,4.29996604631344
S_0_21,1030.1800530956946,0.0,825184.2620528009,475907.88265661214,-72.07072824621022,4.299964345947219
S_0_22,1079.2362461002515,0.0,825233.3182458055,475907.88265661214,-72.07028673606162,4.299962645325587
S_0_23,1128.2924391048084,0.0,825282.3744388099,475907.88265661214,-72.06984522608927,4.299960944448539
S_0_24,1177.3486321093653,0.0,825331.4306318145,475907.88265661214,-72.0694037162932,4.299959243316078
S_0_25,1226.4048251139222,0.0,825380.4868248191,475907.88265661214,-72.06896220667342,4.299957541928204
S_0_26,1275.4610181184792,0.0,825429.5430178236,475907.88265661214,-72.06852069723001,4.299955840284918
S_0_27,1324.517211123036,0.0,825478.5992108282,475907.88265661214,-72.06807918796295,4.299954138386218
S_0_28,1373.5734041275928,0.0,825527.6554038328,475907.88265661214,-72.06763767887229,4.299952436232108
S_0_29,1422.6295971321497,0.0,825576.7115968373,475907.88265661214,-72.06719616995804,4.2999507338225875
S_0_30,1471.6857901367066,0.0,825625.7677898419,475907.88265661214,-72.06675466122024,4.299949031157658
S_0_31,1520.7419831412635,0.0,825674.8239828465,475907.88265661214,-72.06631315265889,4.299947328237315
S_0_32,1569.7981761458204,0.0,825723.8801758509,475907.88265661214,-72.06587164427407,4.299945625061564
S_0_33,1618.8543691503774,0.0,825772.9363688555,475907.88265661214,-72.06543013606576,4.299943921630406
S_0_34,1667.9105621549343,0.0,825821.9925618601,475907.88265661214,-72.06498862803399,4.299942217943837
S_0_35,1716.9667551594912,0.0,825871.0487548647,475907.88265661214,-72.06454712017882,4.29994051400186
S_0_36,1766.022948164048,0.0,825920.1049478692,475907.88265661214,-72.06410561250023,4.299938809804477
S_0_37,1815.0791411686048,0.0,825969.1611408738,475907.88265661214,-72.06366410499827,4.2999371053516855
S_0_38,1864.1353341731617,0.0,826018.2173338784,475907.88265661214,-72.06322259767296,4.2999354006434904
S_0_39,1913.1915271777186,0.0,826067.2735268829,475907.88265661214,-72.06278109052435,4.299933695679886
S_0_40,1962.2477201822755,0.0,826116.3297198875,475907.88265661214,-72.06233958355244,4.299931990460879
S_0_41,2011.3039131868325,0.0,826165.3859128921,475907.88265661214,-72.06189807675727,4.299930284986465
S_0_42,2060.360106191389,0.0,826214.4421058965,475907.88265661214,-72.06145657013886,4.2999285792566475
S_0_43,2109.416299195946,0.0,826263.4982989011,475907.88265661214,-72.06101506369724,4.299926873271426
S_0_44,2158.472492200503,0.0,826312.5544919057,475907.88265661214,-72.06057355743242,4.299925167030802
S_0_45,2207.52868520506,0.0,826361.6106849102,475907.88265661214,-72.06013205134445,4.299923460534773
S_0_46,2256.584878209617,0.0,826410.6668779148,475907.88265661214,-72.05969054543336,4.299921753783344
S_0_47,2305.6410712141737,0.0,826459.7230709194,475907.88265661214,-72.05924903969915,4.299920046776511
S_0_48,2354.6972642187307,0.0,826508.7792639239,475907.88265661214,-72.05880753414186,4.299918339514278
S_0_49,2403.7534572232876,0.0,826557.8354569285,475907.88265661214,-72.05836602876153,4.299916631996643
S_0_50,2452.8096502278445,0.0,826606.8916499331,475907.88265661214,-72.05792452355816,4.299914924223609
S_0_51,2501.8658432324014,0.0,826655.9478429375,475907.88265661214,-72.05748301853178,4.299913216195173
S_0_52,2550.9220362369583,0.0,826705.0040359421,475907.88265661214,-72.05704151368245,4.29991150791134
S_0_53,2599.9782292415152,0.0,826754.0602289467,475907.88265661214,-72.05660000901017,4.299909799372108
S_0_54,2649.034422246072,0.0,826803.1164219512,475907.88265661214,-72.05615850451495,4.2999080905774765
S_0_55,2698.090615250629,0.0,826852.1726149558,475907.88265661214,-72.05571700019685,4.299906381527448
S_0_56,2747.1468082551855,0.0,826901.2288079604,475907.88265661214,-72.05527549605587,4.299904672222022
S_0_57,2796.2030012597425,0.0,826950.2850009649,475907.88265661214,-72.05483399209207,4.299902962661199
