id,E,N,lon,lat
0,616648.4048058892,724109.882196975,-73.9449275,6.549855000000002
1,616728.5959547895,724110.0507157026,-73.94420226,6.549855000000001
2,616808.7871220293,724110.2193502927,-73.94347702,6.549855000000001
3,616888.9783076256,724110.3881007456,-73.94275178,6.549855000000001
4,616969.1695115895,724110.5569670614,-73.94202654,6.549855000000001
5,617049.3607339322,724110.72594924,-73.9413013,6.549855000000001
6,617129.5519746691,724110.8950472818,-73.94057606,6.549854999999999
7,617209.7432338101,724111.0642611871,-73.93985082,6.549855000000001
8,617289.9345113719,724111.2335909556,-73.93912558,6.549855000000001
9,617370.1258073616,724111.4030365876,-73.93840034,6.549855
10,617450.3171217946,724111.5725980835,-73.9376751,6.549855000000001
11,617530.5084546848,724111.742275443,-73.93694986,6.549855
12,617610.6998060434,724111.9120686667,-73.93622462,6.549855
13,617690.8911758831,724112.0819777544,-73.93549938,6.549855000000001
14,617771.0825642152,724112.2520027063,-73.93477414,6.549855000000001
15,617851.2739710562,724112.4221435225,-73.9340489,6.549855000000001
16,617931.4653964135,724112.5924002031,-73.93332366,6.549855
17,618011.656840302,724112.7627727486,-73.93259842,6.549855000000001
18,618091.8483027364,724112.9332611588,-73.93187318,6.549855000000001
19,618172.0397837273,724113.1038654337,-73.93114794,6.549855
20,618252.2312832875,724113.2745855739,-73.9304227,6.549855000000001
21,618332.4228014282,724113.4454215791,-73.92969746,6.549855
22,618412.6143381635,724113.6163734497,-73.92897222,6.549855000000001
23,618492.8058935088,724113.7874411857,-73.92824698,6.549854999999999
24,618572.997467471,724113.9586247874,-73.92752174,6.549855000000001
25,618653.1890600671,724114.1299242547,-73.9267965,6.549855000000001
26,618733.3806713065,724114.3013395879,-73.92607126,6.549855000000001
27,618813.572301205,724114.4728707871,-73.92534602,6.549855000000002
28,618893.7639497736,724114.6445178523,-73.92462078,6.549855
29,618973.9556170237,724114.8162807842,-73.92389554,6.549855000000001
30,619054.1473029719,724114.9881595821,-73.9231703,6.549855000000002
31,619134.3390076254,724115.1601542465,-73.92244506,6.549855000000001
32,619214.5307309994,724115.3322647779,-73.92171982,6.549855000000001
33,619294.722473108,724115.5044911759,-73.92099458,6.549854999999999
34,619374.9142339625,724115.6768334409,-73.92026934,6.549855000000001
35,619455.1060135755,724115.849291573,-73.9195441,6.549855
36,619535.297811958,724116.0218655723,-73.91881886,6.549854999999999
37,619615.4896291256,724116.194555439,-73.91809362000001,6.549855
38,619695.6814650893,724116.3673611732,-73.91736838,6.549854999999999
39,619775.8733198605,724116.5402827751,-73.91664314,6.549855000000001
40,619856.0651934547,724116.7133202448,-73.9159179,6.549855000000001
41,619936.2570858814,724116.8864735825,-73.91519266000002,6.549855000000001
42,620016.4489971577,724117.059742788,-73.91446742,6.549855
43,620096.6409272905,724117.2331278619,-73.91374218,6.549855000000001
44,620176.8328762951,724117.406628804,-73.91301694,6.549855000000001
45,620257.0248441871,724117.5802456146,-73.9122917,6.549855
46,620337.2168309733,724117.7539782941,-73.91156646,6.549855000000002
47,620417.4088366706,724117.927826842,-73.91084122,6.549854999999999
48,620497.6008612888,724118.1017912589,-73.91011598,6.549855000000001
49,620577.7929048435,724118.2758715448,-73.90939074,6.549855
50,620657.9849673455,724118.4500677,-73.9086655,6.549855
51,620738.1770488063,724118.6243797245,-73.90794026,6.549855000000001
52,620818.3691492428,724118.7988076184,-73.90721502,6.549855000000001
53,620898.5612686618,724118.973351382,-73.90648978,6.549855000000001
54,620978.7534070786,724119.1480110151,-73.90576454,6.549855000000001
55,621058.9455645075,724119.322786518,-73.9050393,6.549855000000001
56,621139.1377409595,724119.497677891,-73.90431406,6.549855000000001
57,621219.3299364473,724119.6726851343,-73.90358882,6.549855
