distance_deg,P,S,PcP,PKP,SKS
0.0000,,,503.2181,,
0.3607,,,503.2244,,
0.7214,,,503.2432,,
1.0822,,,503.2744,,
1.4429,,,503.3182,,
1.8036,,,503.3745,,
2.1643,,,503.4433,,
2.5251,,,503.5246,,
2.8858,,,503.6183,,
3.2465,,,503.7246,,
3.6072,,,503.8433,,
3.9679,,,503.9744,,
4.3287,,,504.1180,,
4.6894,,,504.2740,,
5.0501,,,504.4424,,
5.4108,,,504.6232,,
5.7715,,,504.8164,,
6.1323,,,505.0219,,
6.4930,,,505.2397,,
6.8537,,,505.4699,,
7.2144,,,505.7123,,
7.5752,105.9492,,505.9670,,
7.9359,110.8648,200.1205,506.2339,,
8.2966,115.7807,209.0011,506.5131,,
8.6573,120.6962,217.8818,506.8044,,
9.0180,125.6118,226.7626,507.1079,,
9.3788,130.5275,235.6430,507.4235,,
9.7395,135.4426,244.5234,507.7511,,
10.1002,140.3574,253.4034,508.0909,,
10.4609,145.2721,262.2831,508.4426,,
10.8216,150.1865,271.1624,508.8064,,
11.1824,155.1007,280.0414,509.1821,,
11.5431,160.0144,288.9200,509.5697,,
11.9038,164.9278,297.7981,509.9692,,
12.2645,169.8409,306.6758,510.3806,,
12.6253,174.7535,315.5529,510.8037,,
12.9860,179.6657,324.4294,511.2386,,
13.3467,184.5774,333.3054,511.6852,,
13.7074,189.4888,342.1809,512.1435,,
14.0681,194.3997,351.0557,512.6134,,
14.4289,199.3101,359.9299,513.0949,,
14.7896,204.2200,368.8033,513.5880,,
15.1503,209.1294,377.6760,514.0925,,
15.5110,214.0383,386.5479,514.6085,,
15.8717,218.5987,395.4191,515.1358,,
16.2325,223.0562,404.2896,515.6746,,
16.5932,227.5067,413.1592,516.2246,,
16.9539,231.9498,422.0281,516.7859,,
17.3146,236.3852,430.8960,517.3583,,
17.6754,240.8125,439.7631,517.9420,,
18.0361,245.2313,448.0985,518.5367,,
18.3968,249.6414,456.3376,519.1424,,
18.7575,254.0423,464.5670,519.7591,,
19.1182,258.4338,472.7863,520.3868,,
19.4790,262.8154,480.9950,521.0253,,
19.8397,266.9918,489.1927,521.6746,,
20.2004,270.9165,497.3789,522.3347,,
20.5611,274.8038,505.1859,523.0054,,
20.9218,278.6525,512.2757,523.6869,,
21.2826,282.4622,519.2852,524.3788,,
21.6433,286.2334,526.2143,525.0813,,
22.0040,289.9657,533.0647,525.7943,,
22.3647,293.6592,539.8369,526.5177,,
22.7255,297.3148,545.7713,527.2514,,
23.0862,300.9321,551.6296,527.9953,,
23.4469,304.5154,557.4601,528.7495,,
23.8076,308.0604,563.2602,529.5138,,
24.1683,311.3638,569.0269,530.2882,,
24.5291,314.6617,574.7591,531.0726,,
24.8898,317.9536,580.4547,531.8670,,
25.2505,321.2390,586.1139,532.6713,,
25.6112,324.5175,591.7631,533.4854,,
25.9719,327.7884,597.4120,534.3092,,
26.3327,331.0511,603.0597,535.1427,,
26.6934,334.3056,608.7059,535.9859,,
27.0541,337.5511,614.3501,536.8386,,
27.4148,340.7870,619.9919,537.7008,,
27.7756,344.0127,625.6310,538.5724,,
28.1363,347.2282,631.2669,539.4534,,
28.4970,350.4328,636.8992,540.3436,,
28.8577,353.6258,642.5276,541.2431,,
29.2184,356.8118,648.1518,542.1517,,
29.5792,359.9965,653.7713,543.0694,,
29.9399,363.1788,659.3859,543.9961,,
30.3006,366.3581,664.9952,544.9318,,
30.6613,369.5336,670.5988,545.8763,,
31.0220,372.7049,676.1966,546.8296,,
31.3828,375.8713,681.7880,547.7917,,
31.7435,379.0328,687.3731,548.7624,,
32.1042,382.1887,692.9512,549.7418,,
32.4649,385.3388,698.5223,550.7296,,
32.8257,388.4827,704.0860,551.7259,,
33.1864,391.6204,709.6420,552.7306,,
33.5471,394.7513,715.1901,553.7435,,
33.9078,397.8754,720.7301,554.7648,,
34.2685,400.9924,726.2616,555.7942,,
34.6293,404.1020,731.7844,556.8317,,
34.9900,407.2041,737.2983,557.8772,,
35.3507,410.2984,742.8030,558.9307,,
35.7114,413.3847,748.2982,559.9920,,
36.0721,416.4636,753.7844,561.0612,,
36.4329,419.5358,759.2622,562.1382,,
36.7936,422.6005,764.7307,563.2228,,
37.1543,425.6573,770.1897,564.3150,,
37.5150,428.7062,775.6388,565.4148,,
37.8758,431.7467,781.0778,566.5220,,
38.2365,434.7788,786.5064,567.6367,,
38.5972,437.8023,791.9245,568.7586,,
38.9579,440.8170,797.3318,569.8878,,
39.3186,443.8228,802.7280,571.0243,,
39.6794,446.8195,808.1131,572.1678,,
40.0401,449.8071,813.4868,573.3183,,
40.4008,452.7858,818.8488,574.4759,,
40.7615,455.7569,824.1991,575.6404,,
41.1222,458.7198,829.5374,576.8117,,
41.4830,461.6739,834.8648,577.9897,,
41.8437,464.6191,840.1816,579.1745,,
42.2044,467.5552,845.4870,580.3659,,
42.5651,470.4820,850.7807,581.5639,,
42.9259,473.3993,856.0624,582.7684,,
43.2866,476.3071,861.3320,583.9793,,
43.6473,479.2054,866.5892,585.1966,,
44.0080,482.0938,871.8337,586.4202,,
44.3687,484.9735,877.0652,587.6500,,
44.7295,487.8452,882.2839,588.8859,,
45.0902,490.7078,887.4895,590.1280,,
45.4509,493.5612,892.6817,591.3761,,
45.8116,496.4053,897.8611,592.6302,,
46.1723,499.2398,903.0293,593.8901,,
46.5331,502.0645,908.1850,595.1559,,
46.8938,504.8795,913.3278,596.4275,,
47.2545,507.6845,918.4575,597.7047,,
47.6152,510.4796,923.5741,598.9876,,
47.9760,513.2662,928.6770,600.2761,,
48.3367,516.0442,933.7662,601.5701,,
48.6974,518.8130,938.8418,602.8695,,
49.0581,521.5725,943.9033,604.1743,,
49.4188,524.3223,948.9506,605.4844,,
49.7796,527.0624,953.9842,606.7998,,
50.1403,529.7927,959.0058,608.1204,,
50.5010,532.5129,964.0141,609.4461,,
50.8617,535.2231,969.0090,610.7769,,
51.2224,537.9241,973.9900,612.1126,,
51.5832,540.6168,978.9571,613.4534,,
51.9439,543.3004,983.9099,614.7990,,
52.3046,545.9745,988.8483,616.1494,,
52.6653,548.6391,993.7722,617.5046,,
53.0261,551.2939,998.6815,618.8645,,
53.3868,553.9387,1003.5764,620.2291,,
53.7475,556.5737,1008.4587,621.5982,,
54.1082,559.1986,1013.3274,622.9719,,
54.4689,561.8144,1018.1822,624.3500,,
54.8297,564.4218,1023.0227,625.7326,,
55.1904,567.0201,1027.8488,627.1195,,
55.5511,569.6088,1032.6602,628.5107,,
55.9118,572.1877,1037.4569,629.9061,,
56.2725,574.7570,1042.2386,631.3057,,
56.6333,577.3164,1047.0052,632.7094,,
56.9940,579.8659,1051.7580,634.1172,,
57.3547,582.4055,1056.4974,635.5291,,
57.7154,584.9368,1061.2228,636.9448,,
58.0762,587.4590,1065.9337,638.3645,,
58.4369,589.9719,1070.6300,639.7880,,
58.7976,592.4752,1075.3113,641.2154,,
59.1583,594.9689,1079.9775,642.6464,,
