scenario,event_id,age_min,age_max,age_pref,age_cal_yrBP,age_sigma_yr,displacement_m,disp_sigma_m
A,1,450,550,500,500,50,1.1,0.18
A,2,1220,1380,1300,1300,80,1.3,0.18
A,3,2000,2200,2100,2100,100,1.4,0.18
A,4,2880,3120,3000,3000,120,1.2,0.18
A,5,4050,4350,4200,4200,150,1.5,0.18
B,1,445,555,500,500,55,1.4,0.22
B,2,1212,1388,1300,1300,88,1.6,0.22
B,3,1990,2210,2100,2100,110,1.7,0.22
B,4,2868,3132,3000,3000,132,1.5,0.22
B,5,4035,4365,4200,4200,165,1.8,0.22
C,1,460,540,500,500,40,0.5,0.1
C,2,1236,1364,1300,1300,64,0.6,0.1
C,3,2020,2180,2100,2100,80,0.65,0.1
C,4,2904,3096,3000,3000,96,0.55,0.1
C,5,4080,4320,4200,4200,120,0.7,0.1
